group_id,member_id,joined_at,left_at
1,28,"2022-10-03 23:25:53+00:00",""
1,50,"2022-10-08 23:25:53+00:00",""
2,35,"2022-08-29 08:57:31+00:00",""
2,52,"2022-09-05 08:57:31+00:00",""
3,91,"2022-09-15 05:50:16+00:00",""
3,46,"2022-09-21 05:50:16+00:00",""
4,73,"2022-01-30 19:22:01+00:00",""
4,63,"2022-02-04 19:22:01+00:00",""
5,72,"2022-05-27 23:14:12+00:00",""
5,56,"2022-05-31 23:14:12+00:00",""
6,90,"2022-09-03 22:23:48+00:00",""
6,26,"2022-09-09 22:23:48+00:00",""
7,67,"2022-06-10 16:50:42+00:00","2022-06-10 16:50:42+00:00"
7,90,"2022-06-15 16:50:42+00:00","2022-07-05 16:50:42+00:00"
8,48,"2022-01-11 05:24:37+00:00",""
8,21,"2022-01-11 05:24:37+00:00",""
9,65,"2022-03-05 08:15:09+00:00",""
9,36,"2022-03-11 08:15:09+00:00",""
10,80,"2022-08-22 19:20:40+00:00",""
10,14,"2022-08-23 19:20:40+00:00",""
11,22,"2022-05-04 20:54:46+00:00",""
11,70,"2022-05-10 20:54:46+00:00",""
12,38,"2022-01-01 20:28:14+00:00",""
12,29,"2022-01-07 20:28:14+00:00",""
13,4,"2022-02-03 10:45:02+00:00",""
13,50,"2022-02-03 10:45:02+00:00",""
14,35,"2022-04-27 07:44:24+00:00","2022-06-04 07:44:24+00:00"
14,28,"2022-05-03 07:44:24+00:00","2022-05-04 07:44:24+00:00"
15,35,"2022-03-11 18:59:08+00:00",""
15,88,"2022-03-11 18:59:08+00:00",""
16,60,"2022-01-21 04:30:33+00:00",""
16,55,"2022-01-26 04:30:33+00:00",""
17,31,"2022-01-15 16:36:50+00:00",""
17,69,"2022-01-17 16:36:50+00:00",""
18,1,"2022-07-21 03:32:23+00:00",""
18,92,"2022-07-26 03:32:23+00:00",""
19,75,"2022-08-23 23:36:33+00:00",""
19,62,"2022-08-26 23:36:33+00:00",""
20,58,"2022-02-02 03:57:36+00:00",""
20,60,"2022-02-04 03:57:36+00:00",""
21,72,"2022-05-12 18:23:13+00:00","2022-05-12 18:23:13+00:00"
21,100,"2022-05-13 18:23:13+00:00","2022-06-18 18:23:13+00:00"
22,16,"2022-06-29 23:35:58+00:00",""
22,84,"2022-07-04 23:35:58+00:00",""
23,64,"2022-09-18 19:22:26+00:00",""
23,52,"2022-09-24 19:22:26+00:00",""
24,87,"2022-11-03 17:04:16+00:00",""
24,18,"2022-11-06 17:04:16+00:00",""
25,91,"2022-10-12 20:20:26+00:00",""
25,42,"2022-10-12 20:20:26+00:00",""
26,89,"2022-03-22 09:00:44+00:00",""
26,75,"2022-03-24 09:00:44+00:00",""
27,85,"2022-05-20 16:42:43+00:00",""
27,95,"2022-05-21 16:42:43+00:00",""
28,52,"2022-10-23 02:54:01+00:00","2022-11-02 02:54:01+00:00"
28,43,"2022-10-23 02:54:01+00:00","2022-10-24 02:54:01+00:00"
29,23,"2022-09-23 02:03:06+00:00",""
29,37,"2022-09-25 02:03:06+00:00",""
30,5,"2022-04-26 06:17:03+00:00",""
30,27,"2022-04-28 06:17:03+00:00",""
31,72,"2022-03-17 22:08:03+00:00",""
31,41,"2022-03-24 22:08:03+00:00",""
32,27,"2022-06-11 01:23:05+00:00",""
32,54,"2022-06-11 01:23:05+00:00",""
33,53,"2022-03-21 21:53:17+00:00",""
33,42,"2022-03-25 21:53:17+00:00",""
34,11,"2022-01-05 23:31:48+00:00",""
34,87,"2022-01-11 23:31:48+00:00",""
35,68,"2022-10-30 10:25:22+00:00","2022-11-21 10:25:22+00:00"
35,2,"2022-11-04 10:25:22+00:00","2022-11-04 10:25:22+00:00"
36,38,"2022-07-16 02:55:00+00:00",""
36,29,"2022-07-18 02:55:00+00:00",""
37,81,"2022-02-16 03:12:42+00:00",""
37,63,"2022-02-23 03:12:42+00:00",""
38,90,"2022-01-20 15:51:53+00:00",""
38,68,"2022-01-20 15:51:53+00:00",""
39,11,"2022-01-08 12:42:36+00:00",""
39,93,"2022-01-14 12:42:36+00:00",""
40,44,"2022-07-02 20:30:52+00:00",""
40,53,"2022-07-08 20:30:52+00:00",""
41,47,"2022-07-10 02:11:21+00:00",""
41,96,"2022-07-12 02:11:21+00:00",""
42,73,"2022-09-06 11:37:56+00:00","2022-10-14 11:37:56+00:00"
42,47,"2022-09-08 11:37:56+00:00","2022-10-07 11:37:56+00:00"
43,18,"2022-10-08 14:21:15+00:00",""
43,76,"2022-10-09 14:21:15+00:00",""
44,70,"2022-07-09 16:43:56+00:00",""
44,95,"2022-07-15 16:43:56+00:00",""
45,55,"2022-06-13 05:07:48+00:00",""
45,83,"2022-06-19 05:07:48+00:00",""
46,8,"2022-03-28 00:35:23+00:00",""
46,74,"2022-03-30 00:35:23+00:00",""
47,44,"2022-02-25 13:43:23+00:00",""
47,16,"2022-03-02 13:43:23+00:00",""
48,66,"2022-06-03 06:42:15+00:00",""
48,8,"2022-06-06 06:42:15+00:00",""
49,3,"2022-04-11 02:28:45+00:00","2022-05-12 02:28:45+00:00"
49,69,"2022-04-11 02:28:45+00:00","2022-05-10 02:28:45+00:00"
50,81,"2022-05-09 00:53:10+00:00",""
50,55,"2022-05-14 00:53:10+00:00",""
